GeneCluster	X1	X2	p.value
PIWIL4	2	0.49	0.861	6.40803748975197e-11
FAM184B	1	0.234	0.116	2.24646958999157e-08
KCNK9	2	0.619	0.883	1.91673430480854e-11
LETM1	2	0.864	0.898	0.00275455798484295
ADAM21P1	2	0.569	0.727	0.000103679916777296
RTEL1	2	0.717	0.798	0.000394598627462815
GALNT4	1	0.253	0.053	6.98400039903172e-20
RBM11	1	0.053	0.031	0.00248630808862383
SETD3	1	0.555	0.166	1.17737983882363e-21
RBM20	1	0.693	0.257	2.03667426622679e-23
SETBP1	2	0.851	0.911	2.35462994255602e-05
IRF8	2	0.797	0.871	0.000117672652694974
YWHAB	2	0.9	0.933	4.59642837789603e-05
BZRAP1	1	0.556	0.37	1.18308420574506e-09
TRPV2	2	0.36	0.526	9.06138278264604e-05
ETS2	2	0.662	0.832	7.67691639818216e-09
PPAP2B	2	0.859	0.922	8.93628775392002e-05
BAP1	1	0.579	0.203	2.27875966648983e-26
TAP1	2	0.625	0.903	2.89625632837478e-07
IL2RA	2	0.859	0.906	0.00139032097668801
TOX2	2	0.581	0.762	0.000142919710472144
SPIRE1	2	0.681	0.886	3.22030931299826e-06
ASB1	2	0.867	0.894	0.00359243429069729
C1QC	2	0.706	0.811	3.76211007408846e-05
HEY1	2	0.013	0.014	1.71781155981927e-06
TACC2	2	0.622	0.729	2.1757831650485e-07
CARKD	2	0.932	0.941	0.00484456738812383
HERC2	2	0.95	0.97	8.94690244838417e-09
ACOX3	2	0.705	0.891	1.50857370745328e-09
SORT1	2	0.819	0.884	0.00123528595086118
TCEB1	2	0.72	0.844	2.8471772728598e-05
SMOC2	2	0.685	0.857	5.62363346297798e-06
IKZF4	1	0.396	0.113	1.25897514863583e-24
FAM57A	2	0.487	0.639	9.48930115955359e-06
RPL37	1	0.12	0.043	1.2691132329974e-07
NSMAF	2	0.019	0.021	7.49143249024411e-08
C1QA	2	0.716	0.768	9.00449813745963e-06
SEMA6B	2	0.906	0.952	1.14033887422585e-05
RCBTB1	2	0.921	0.936	0.00297144251801014
ATP6V1C1	2	0.023	0.028	3.32498321776356e-06
S1PR4	2	0.788	0.874	0.000264205394036348
SIGLEC8	2	0.633	0.792	8.35512540180826e-09
RFNG	1	0.501	0.22	4.45688293080308e-12
SFXN5	2	0.675	0.821	1.14088465607548e-07
STK17A	2	0.883	0.915	0.00106020258791876
KLC3	1	0.119	0.063	2.33569689680703e-08
DDA1	1	0.361	0.112	2.32801993866583e-18
HK3	2	0.644	0.828	1.22569245078925e-09
TET1	1	0.529	0.217	4.13586411719722e-09
TESC	2	0.821	0.897	1.09126610181607e-06
PVRIG	2	0.862	0.917	0.00010379587905423
PEX5	1	0.067	0.029	9.97362151575591e-11
GFM1	1	0.033	0.026	5.61874551513589e-13
UBE2N	2	0.427	0.705	1.67694926016696e-12
CD74	2	0.864	0.899	0.000378990574545449
HSPA4L	2	0.62	0.746	6.61789300846869e-06
GALC	1	0.583	0.096	5.19088057179021e-15
BTBD6	2	0.714	0.856	1.87306487391092e-07
HIF1AN	1	0.13	0.054	4.28252715500724e-05
SLIT3	2	0.914	0.933	3.6396824817029e-05
FAM63A	1	0.45	0.056	5.15658916083806e-18
MET	2	0.662	0.895	8.20287393647659e-11
FAM26E	2	0.716	0.86	1.75039766956332e-06
CCL3	2	0.818	0.886	0.000125370011873927
PRICKLE2	1	0.381	0.055	3.44007876075832e-15
EFS	1	0.896	0.202	6.92590724296892e-27
KLF2	2	0.53	0.737	3.53357248196141e-13
HABP2	2	0.83	0.876	4.26057288973682e-05
RCE1	2	0.824	0.856	0.00505975415593317
PARP1	2	0.844	0.884	9.80012606851227e-05
FABP3	2	0.402	0.656	7.32725218213886e-15
ZNF219	1	0.39	0.138	2.81804298326612e-13
GPX1	2	0.309	0.68	7.91337064126103e-17
CDC42SE1	2	0.131	0.333	2.81991223803408e-09
OAT	2	0.793	0.846	0.00040101871308883
FAM118A	1	0.573	0.18	2.48915493988028e-13
DLC1	1	0.566	0.186	2.42737302417824e-11
SATB1	1	0.46	0.2	8.78920399531569e-25
KIAA1217	1	0.688	0.235	1.99601559007685e-22
MPL	1	0.101	0.045	1.96029687065836e-05
LY9	2	0.739	0.812	3.4762117764485e-06
MYO6	1	0.159	0.097	5.12900608266523e-05
POMP	2	0.862	0.902	0.00151498925872237
UNC119	1	0.23	0.107	3.93212586011114e-13
FSTL4	2	0.621	0.815	1.63512865954801e-08
SERPINB6	1	0.107	0.028	1.40384502858479e-11
SULF2	2	0.932	0.94	0.00606402840373151
IQSEC1	1	0.776	0.387	1.11223816877226e-16
GPD1L	1	0.414	0.082	8.66777483684651e-20
YTHDF3	2	0.038	0.053	2.62476338306037e-09
NF2	2	0.807	0.887	0.000725766392991624
RNF144A	2	0.557	0.774	1.2181893947838e-09
CCND3	1	0.283	0.042	1.76580218559369e-26
STAM	2	0.847	0.931	6.00846748228334e-05
RNF44	1	0.699	0.42	2.59418618597205e-13
PLXNC1	2	0.451	0.685	1.27706021882493e-07
FUT3	1	0.567	0.249	6.98482763461749e-13
RHBDD2	2	0.379	0.57	2.31326600460965e-09
MANSC1	1	0.44	0.099	1.36247339348646e-21
AIF1	2	0.862	0.902	0.00128464896357966
ATP11B	1	0.753	0.37	4.97805873738684e-14
HAVCR2	2	0.833	0.907	4.13776144730527e-06
BCL2L12	1	0.77	0.705	2.07233893999885e-06
ADAMTS14	2	0.452	0.612	9.48992800613215e-08
HNMT	1	0.508	0.065	9.82745171741007e-20
CTSW	2	0.539	0.726	0.000109360943429358
LILRA4	2	0.656	0.815	1.95571431670658e-06
VPS13B	2	0.026	0.034	6.32843979589939e-08
PCMTD1	2	0.05	0.067	4.88609170200401e-07
LAPTM5	2	0.744	0.81	0.000555973395549182
TWIST2	2	0.786	0.871	2.05179108696724e-08
ITPA	2	0.704	0.766	0.0365734174904423
ZNF836	1	0.629	0.261	8.70277572714574e-20
HLTF	1	0.113	0.07	3.9692619520598e-15
PPP1R3C	1	0.479	0.089	2.82108251709716e-18
TGM3	2	0.922	0.969	0.0213831549807
ULK4	2	0.856	0.917	1.14497513315736e-06
ST3GAL1	2	0.902	0.948	2.8891442220206e-08
FBP2	1	0.55	0.195	1.4842261700731e-17
ANKRD42	1	0.164	0.087	1.49438217817859e-14
SRPK2	2	0.86	0.92	2.76622411875555e-05
SEC24D	2	0.901	0.931	1.51595476477583e-05
CRTAC1	1	0.455	0.171	7.4916097360234e-15
FYN	1	0.313	0.1	3.13432238589457e-12
SMYD3	2	0.774	0.852	1.56862201158991e-05
SDK2	2	0.765	0.799	0.00186626909656167
CNST	2	0.897	0.906	0.0108790897694626
SATB2	2	0.378	0.655	4.12579620475952e-08
GALM	1	0.719	0.27	4.50731228729597e-20
SUSD2	2	0.829	0.905	4.86729854778484e-07
MPRIP	1	0.271	0.105	3.73000679908416e-10
ST3GAL4	2	0.452	0.651	1.58214527149397e-11
RNF5	1	0.095	0.043	6.35455442573247e-08
LYPD3	1	0.539	0.181	1.28784401577155e-14
ADAMTS2	2	0.743	0.804	5.6836571481794e-05
SYDE2	1	0.093	0.033	2.84861762972302e-05
TIRAP	2	0.85	0.904	0.0205190088718351
ASAP2	2	0.822	0.867	0.00272060992180208
DOK2	2	0.83	0.944	4.68685466502956e-06
RAPGEF3	1	0.612	0.181	9.60983340133845e-20
FAM129B	1	0.69	0.436	2.027308712836e-13
KCNQ2	2	0.817	0.883	0.0366915442167083
CERK	2	0.917	0.93	0.023706860878642
RGS3	1	0.438	0.222	1.90233794652387e-08
ATP9A	2	0.214	0.557	4.7525144124833e-13
SUFU	1	0.083	0.038	1.9937236285919e-09
NECAB2	2	0.323	0.737	1.35054187128112e-12
CD84	2	0.856	0.897	0.000575125762804831
TSPAN5	2	0.878	0.911	0.0030963076590216
ZBTB11	1	0.3	0.22	2.92632717439491e-08
CCNG2	1	0.776	0.092	2.4230198988287e-42
HOOK1	1	0.577	0.219	1.55419419057184e-14
LPIN1	1	0.278	0.047	1.3206978347547e-16
CNRIP1	1	0.343	0.107	6.09125568645165e-09
DLG2	1	0.433	0.065	5.40585351699222e-20
PDXP	1	0.795	0.307	1.70721019005926e-23
NLRP3	2	0.685	0.846	1.76332514982563e-06
PARP4	2	0.179	0.624	1.50735284687964e-11
PHF1	1	0.237	0.144	1.86870594713619e-12
HLCS	2	0.723	0.858	1.9940382813415e-10
SBSN	2	0.782	0.863	5.3514911582649e-06
OSBPL6	2	0.896	0.917	0.00181669570774237
CYBRD1	1	0.235	0.059	2.33617394389603e-07
SGSH	2	0.907	0.937	1.09594545283443e-05
MINA	1	0.786	0.379	6.63791844346339e-23
ASAP1	2	0.763	0.839	1.7616439218927e-08
MON1A	1	0.04	0.025	6.33953532949068e-12
MMP11	2	0.354	0.53	9.51563643124963e-06
TFAP2E	2	0.724	0.789	2.55498691174935e-05
P4HA2	2	0.824	0.864	1.04709222218178e-05
FGD4	1	0.263	0.067	3.81572514776284e-14
SRGAP1	2	0.671	0.856	1.06728738162904e-09
TCHH	2	0.608	0.795	0.000147280833424091
FAM50B	1	0.686	0.475	1.68139836730494e-13
HK1	2	0.368	0.627	2.36917602975396e-15
TARBP2	2	0.581	0.737	1.00043736757079e-07
CRELD2	2	0.731	0.816	9.2973023618739e-06
DOCK2	2	0.73	0.789	0.00441996237110421
SYN2	1	0.06	0.041	6.26826539014473e-07
HIGD1B	2	0.642	0.72	0.00649318857398247
PSG5	2	0.681	0.804	0.00020635334882485
IGFBP2	2	0.477	0.704	2.48882475302069e-14
TSC22D1	2	0.486	0.725	5.19813789115644e-11
PLCD1	1	0.266	0.105	5.12678460817827e-19
PDE4B	1	0.79	0.133	3.86364543795473e-31
RASGRF1	2	0.6	0.803	3.19985109398263e-07
ADCK5	2	0.685	0.794	2.4648335592263e-06
DISC1	2	0.801	0.903	1.63115118721839e-07
CALHM2	2	0.076	0.527	7.3229502895773e-20
ZNF777	1	0.125	0.08	0.00010864704851688
TSGA10IP	2	0.685	0.729	0.0285558642768138
PDS5B	2	0.844	0.899	4.68122812460867e-06
CTSF	1	0.885	0.434	6.69340485879511e-27
TM9SF3	2	0.362	0.689	4.79430668284532e-21
MBP	2	0.555	0.779	6.95804051716303e-10
PARP6	1	0.397	0.112	4.6011056572923e-12
LSM12	2	0.189	0.464	1.53889725616449e-11
SLC7A2	1	0.582	0.275	1.77586950654641e-10
STC2	2	0.901	0.914	0.00834512084750241
TRAM2	2	0.74	0.823	3.57015893103257e-06
RARB	1	0.602	0.097	4.69303634076334e-17
LGMN	2	0.765	0.826	1.71867741221435e-05
USP40	2	0.923	0.939	0.000769831163387638
PTPN21	1	0.131	0.067	4.92717160031455e-07
ACER3	1	0.792	0.425	4.79291419117005e-20
ARHGAP15	2	0.755	0.804	0.00118892481667503
MAPKAPK3	1	0.029	0.024	7.15780021407328e-13
COX17	1	0.078	0.048	6.83808617314659e-17
MDFI	2	0.838	0.902	1.72715917143569e-05
SAMD13	1	0.441	0.251	2.88297860865835e-09
RMND5A	1	0.601	0.314	8.59421320755129e-16
ZHX1	1	0.902	0.283	5.97126890335315e-27
PCYT1A	2	0.807	0.922	2.6139448736675e-05
PUS1	2	0.916	0.923	0.0269290396162691
PTPRS	1	0.383	0.2	4.80622272423749e-11
RBPJ	2	0.907	0.935	0.00034190812362037
CA12	2	0.778	0.899	0.000112575118557311
CD101	2	0.839	0.882	0.0016482098000253
SERPINB9	1	0.599	0.285	9.41785719940403e-17
HKR1	1	0.704	0.228	3.99332246790346e-18
MDGA2	2	0.773	0.895	8.57261552382365e-07
COX6A2	1	0.254	0.087	9.26156095115478e-10
MEF2C	1	0.602	0.113	1.28434690747808e-22
WDR48	1	0.055	0.04	9.50946899894354e-14
TPPP	2	0.756	0.827	0.000169545715052126
FBXL2	1	0.119	0.069	1.03860327743897e-15
MBOAT2	2	0.591	0.735	0.00408080817506048
FYCO1	1	0.065	0.04	0.000522312492981191
LIPE	1	0.4	0.192	8.57571280931867e-12
CD300A	2	0.684	0.815	2.80553906432933e-08
NR1D2	1	0.021	0.018	4.79464672502571e-11
HDAC11	1	0.571	0.42	1.19129983726892e-12
WIPF3	1	0.644	0.258	4.98080906038053e-16
IGSF22	1	0.201	0.083	6.59475655145709e-08
NRCAM	2	0.745	0.838	3.99748389517956e-05
TMEM87A	2	0.801	0.893	7.00266387719392e-05
TLK1	2	0.902	0.927	0.000347970584568298
BTRC	1	0.235	0.062	1.84622511399847e-25
GABRP	1	0.574	0.337	8.7779630197074e-13
SH2D3C	2	0.745	0.817	4.32692763775516e-05
BEND5	1	0.791	0.3	2.58185334413344e-18
SERPINA1	2	0.8	0.834	0.00104020614530496
CCDC64	2	0.865	0.909	9.10306398053367e-05
FAM153A	2	0.831	0.889	0.00477940084322193
STAT3	2	0.725	0.826	4.02463804332367e-05
CCL4	2	0.852	0.881	0.000111246049195811
POLR1B	1	0.051	0.036	0.000122776047810848
ZBTB12	1	0.375	0.309	2.53624730650336e-11
SEMA3B	1	0.527	0.153	2.85515526048738e-19
EDNRB	1	0.54	0.081	9.19193689189786e-16
LRPAP1	2	0.712	0.878	1.38498658526523e-12
FAM198B	2	0.767	0.846	0.000263667848522876
CCS	1	0.761	0.191	2.05143348757235e-22
ADNP2	2	0.653	0.828	3.32408528202359e-05
THNSL1	1	0.109	0.058	0.000156330627030705
CSRP1	1	0.702	0.288	1.79622143722243e-12
ANK1	2	0.66	0.781	2.58817093729189e-06
COL18A1	2	0.804	0.851	2.28662314330685e-06
IRF2BP2	1	0.217	0.073	2.80480581341322e-09
GIMAP1	2	0.856	0.934	7.47232794091784e-05
SLC36A1	2	0.87	0.901	0.000277770178345965
ARPC1B	2	0.205	0.339	6.3806683065312e-06
TNFSF13	1	0.699	0.456	3.80555413652864e-18
GRAMD2	1	0.506	0.126	6.33083928829094e-15
TMEM163	2	0.349	0.62	6.08542329745315e-14
DNAJC19	1	0.106	0.07	4.5636492295839e-15
PACSIN3	1	0.309	0.148	5.35519364861164e-13
MAP3K13	1	0.073	0.048	1.95451098063613e-13
VAMP2	1	0.439	0.149	4.26160352846312e-22
RPUSD3	1	0.18	0.109	4.9811307084788e-14
SCN4A	2	0.653	0.761	1.38728642723744e-05
CYP2S1	2	0.627	0.728	5.97128918419503e-05
ST8SIA1	2	0.697	0.836	1.86159640759883e-05
ACAP1	2	0.753	0.811	0.000563133600339273
CHIT1	2	0.843	0.878	0.000782119935743038
ZSWIM4	1	0.249	0.058	1.49211299477066e-13
APLNR	2	0.792	0.925	4.90722124510851e-05
SLMO1	2	0.814	0.893	7.96262307822159e-07
TMCO3	1	0.376	0.126	3.21910461590173e-10
CD8A	2	0.877	0.914	1.58856420903392e-05
GNPDA1	2	0.587	0.729	8.64809835998673e-06
DTWD1	1	0.516	0.051	1.21990407714626e-25
ACAD10	2	0.806	0.83	0.00412649514731727
EFHD2	2	0.802	0.915	2.42289917305514e-06
SEMA4G	1	0.493	0.18	1.68477550714334e-19
PPP1R10	2	0.767	0.857	5.38254448505e-07
APBB1	1	0.313	0.099	3.86095836158741e-16
SLC4A11	2	0.761	0.88	6.34632987386012e-08
TCEA1	2	0.028	0.034	6.98819201290456e-09
GRAP2	2	0.844	0.909	0.000121719421875452
ITGAX	2	0.219	0.279	0.0243125447612018
WDFY4	2	0.693	0.758	5.34400612369966e-06
SPATA7	1	0.172	0.088	4.41629294287955e-07
SGCD	2	0.657	0.865	4.84567526048785e-13
MDFIC	2	0.911	0.934	0.000375913714414851
KLF11	1	0.447	0.304	0.000240859010588717
SORCS3	2	0.636	0.785	0.000203580287289037
RXRB	1	0.564	0.253	1.06945875089163e-18
COL4A2	2	0.841	0.883	3.52040588178175e-05
SPARC	2	0.768	0.884	9.13046716897652e-06
THUMPD3	1	0.025	0.02	3.88472839539266e-15
BCL3	2	0.677	0.788	0.000163389753994151
SRGN	1	0.73	0.241	5.44719305598284e-15
KLF10	1	0.202	0.156	2.03003781402522e-06
NLRP1	2	0.815	0.866	0.00179853852142564
TIAM1	2	0.322	0.507	1.65953040262728e-05
YPEL3	1	0.665	0.372	3.41482994407528e-13
EXTL3	1	0.489	0.234	4.33849502136775e-12
PDK2	1	0.648	0.288	4.64419744791525e-22
SHC4	1	0.427	0.086	3.32213643232358e-17
HSPA9	2	0.872	0.903	1.87674674165764e-05
CD226	2	0.906	0.928	0.0322991800528185
BTBD2	1	0.219	0.128	1.29312593036124e-05
STK10	2	0.747	0.814	0.0012188737447206
METTL7B	2	0.904	0.943	4.14986497050736e-06
LYN	2	0.784	0.839	8.60199016630297e-06
RBP7	1	0.421	0.157	2.15955684334732e-25
B4GALNT3	2	0.886	0.906	0.000993905178890263
RUVBL1	1	0.057	0.038	4.47781007955595e-12
MXI1	1	0.509	0.129	1.64922182172298e-14
PITPNC1	2	0.574	0.813	4.20075904921944e-09
EIF1B	1	0.03	0.024	1.67472582249358e-12
MAP2K5	1	0.401	0.156	1.06567258527505e-14
NR2F2	2	0.429	0.662	1.02614255768222e-05
CTF1	1	0.595	0.092	1.15633976959851e-28
ZNF785	1	0.106	0.029	2.73619664678226e-06
ZNF433	1	0.386	0.04	1.4247208401799e-17
PRAM1	2	0.719	0.788	4.38217653084952e-05
GTF3C1	1	0.646	0.323	2.09585655577293e-11
TNPO2	1	0.373	0.181	2.23939381975706e-13
SULT4A1	1	0.048	0.026	0.000132318403727176
RC3H1	2	0.809	0.878	0.00173732610783771
RPL22	1	0.313	0.082	3.31559748205734e-19
SS18L2	1	0.018	0.015	2.2266199875226e-09
ZNF345	1	0.153	0.061	5.99521345784159e-11
ADAM15	2	0.34	0.545	1.0383746457638e-13
IRF1	2	0.844	0.907	1.674296800066e-06
NMNAT2	2	0.851	0.879	0.000859019304258136
MCM4	2	0.062	0.095	7.82407614180338e-09
